window,model,rows,correct,accuracy,log_loss,brier_score,home_recall,draw_recall,away_recall
full_season_gw1_38,elo_default,380,186,0.48947368421052634,1.039908902709337,0.6254080196667086,0.84375,0.0,0.4434782608695652
full_season_gw1_38,league_frequency,380,160,0.42105263157894735,1.085800488838547,0.6576099198467343,1.0,0.0,0.0
full_season_gw1_38,always_home,380,160,0.42105263157894735,4.400943739875346,1.156159394736842,1.0,0.0,0.0
headline_holdout_gw20_38,elo_default,190,87,0.45789473684210524,1.0519585577216946,0.6354211574436602,0.8289473684210527,0.0,0.42105263157894735
headline_holdout_gw20_38,league_frequency,190,76,0.4,1.095009492799433,0.6639860746358044,1.0,0.0,0.0
headline_holdout_gw20_38,always_home,190,76,0.4,4.5609416758586825,1.1982015,1.0,0.0,0.0
